date,buyout|growth,buyout|term,buyout|inflation,buyout|credit,buyout|n,vc|growth,vc|term,vc|inflation,vc|credit,vc|n,fof_secondary|growth,fof_secondary|term,fof_secondary|inflation,fof_secondary|credit,fof_secondary|n,fof_primary|growth,fof_primary|term,fof_primary|inflation,fof_primary|credit,fof_primary|n,senior_loan|growth,senior_loan|term,senior_loan|inflation,senior_loan|credit,senior_loan|n,mezzanine|growth,mezzanine|term,mezzanine|inflation,mezzanine|credit,mezzanine|n,apac_equity|growth,apac_equity|term,apac_equity|inflation,apac_equity|credit,apac_equity|n,hfri_fof_cons|growth,hfri_fof_cons|term,hfri_fof_cons|inflation,hfri_fof_cons|credit,hfri_fof_cons|n,msci_gpfi|growth,msci_gpfi|term,msci_gpfi|inflation,msci_gpfi|credit,msci_gpfi|n,re_noncore|growth,re_noncore|term,re_noncore|inflation,re_noncore|credit,re_noncore|n,gl1|growth,gl1|term,gl1|inflation,gl1|credit,gl1|n,gl2|growth,gl2|term,gl2|inflation,gl2|credit,gl2|n,epra_nareit|growth,epra_nareit|term,epra_nareit|inflation,epra_nareit|credit,epra_nareit|n,infra_core|growth,infra_core|term,infra_core|inflation,infra_core|credit,infra_core|n,ftse_fi_infra|growth,ftse_fi_infra|term,ftse_fi_infra|inflation,ftse_fi_infra|credit,ftse_fi_infra|n
2012-09-30,0.71075,-0.17808,2.7361,0.34793,20,0.34059,-0.51687,1.1526,-0.41657,20,0.39626,-0.78644,2.6889,-0.43105,20,0.61216,-0.20826,2.9705,-0.13689,20,,,,,,-0.01947,-0.4018,1.2684,2.5887,20,0.7325,-0.57394,1.2904,1.0449,20,0.27026,-0.16946,0.72599,0.16571,20,0.86433,-1.0839,2.8403,-0.23538,18,0.62627,-0.16338,4.9275,-2.7252,20,,,,,,,,,,,1.2129,0.43246,-0.43887,0.13264,20,0.3602,0.66302,0.055757,-0.66812,20,,,,,
2012-12-31,0.71573,-0.22894,2.7069,0.45168,20,0.34502,-0.55044,1.0928,-0.35701,20,0.40008,-0.81196,2.7736,-0.41159,20,0.6186,-0.26637,2.9135,-0.006431,20,,,,,,-0.020508,-0.37676,1.3753,2.5813,20,0.74291,-0.68622,0.90901,1.2921,20,0.27317,-0.19794,0.66724,0.21625,20,0.86335,-1.0837,2.8039,-0.23121,19,0.63402,-0.24856,4.927,-2.9465,20,,,,,,,,,,,1.2078,0.51328,-0.20612,-0.013048,20,0.36675,0.41422,0.052925,-0.51964,20,,,,,
2013-03-31,0.71851,-0.23839,2.9201,0.5408,20,0.33991,-0.53356,1.3576,-0.40143,20,0.39258,-0.77909,3.2522,-0.34879,20,0.60557,-0.24051,3.439,0.0013101,20,,,,,,-0.02325,-0.44995,0.98968,2.6982,20,0.68946,-0.63745,1.4686,1.1005,20,0.27621,-0.21146,0.68895,0.19041,20,0.85875,-1.0794,2.7462,-0.26559,20,0.67399,-0.34076,4.7516,-3.3751,20,,,,,,,,,,,1.2206,0.48603,-0.38573,0.10326,20,0.38464,0.26804,0.046523,-0.30761,20,,,,,
2013-06-30,0.71301,-0.41832,1.7754,0.6056,20,0.33679,-0.59608,0.85088,-0.42145,20,0.38896,-0.80059,2.2825,-0.31899,20,0.60158,-0.34021,2.1651,0.036067,20,,,,,,0.015592,-0.37705,0.65661,2.6837,20,0.68882,-0.63767,1.277,1.1913,20,0.27797,-0.19026,0.43337,0.14941,20,0.85642,-1.06,1.5498,-0.048655,20,0.66444,-0.62208,2.9011,-2.8425,20,,,,,,,,,,,1.2154,0.398,-0.21093,0.16914,20,0.38655,-0.0023561,-0.057981,-0.29536,20,,,,,
2013-09-30,0.63414,-0.70949,1.6331,0.25089,20,0.34835,-0.76864,0.78107,-0.61664,20,0.37689,-0.99928,2.2067,-0.4238,20,0.52538,-0.69284,1.9882,-0.41443,20,,,,,,0.015589,-0.42601,0.64305,2.691,20,0.65823,-0.64194,1.3063,1.3343,20,0.25105,-0.3015,0.36994,0.025542,20,0.6979,-1.024,1.3123,-0.42351,20,0.5684,-0.92544,2.711,-3.5723,20,,,,,,,,,,,1.268,0.61575,0.015561,1.0264,20,0.3743,-0.12551,-0.070916,-0.52939,20,,,,,
2013-12-31,0.39326,-0.26919,0.86516,0.33672,20,0.2035,-0.58821,0.17961,-0.57359,20,0.042509,-0.41275,1.0658,-0.30855,20,0.26624,-0.23094,1.2211,-0.32522,20,,,,,,-0.10923,-0.20643,0.49204,2.497,20,0.51592,-0.4091,0.99494,1.3841,20,0.17159,-0.1692,0.028113,0.052785,20,0.53472,-0.055667,0.095011,0.37714,20,-0.11873,0.25549,-0.35889,-2.0261,20,,,,,,,,,,,1.1963,0.86301,-0.63877,1.2002,20,0.34481,-0.24364,-0.27915,-0.40714,20,,,,,
2014-03-31,0.50702,0.07574,-0.1548,-0.020527,20,0.22322,-0.58115,0.23852,-0.68629,20,0.12657,-0.15736,0.61907,-0.61865,20,0.393,0.23958,-0.12216,-0.78691,20,0.21143,0.15678,0.077932,1.3699,16,0.074244,0.044847,-0.38403,2.5675,20,0.65418,-0.095606,0.24094,1.0365,20,0.19002,-0.12171,-0.16287,-0.0068197,20,0.60995,-0.10173,-0.41749,0.47539,20,0.010276,0.82025,-3.0074,-1.6171,20,,,,,,,,,,,1.1042,0.70018,-0.037465,1.3583,20,0.30518,-0.20541,-0.1244,-0.42188,20,-0.081018,0.54632,0.086361,0.68938,16
2014-06-30,0.49329,0.050658,-0.088392,-0.42697,20,0.28887,-0.60423,0.3034,-0.92303,20,0.24188,-0.087946,0.37443,0.60469,20,0.49394,0.26469,-0.18692,-0.44542,20,0.2054,0.14436,0.018305,1.366,17,0.70571,-0.12193,0.082358,1.7507,20,0.50698,-0.1445,0.40621,0.18347,20,0.1993,-0.10878,-0.17891,0.20951,20,0.51855,0.21363,-0.79411,-1.56,20,0.25371,0.66547,-2.3589,-1.4611,20,,,,,,,,,,,0.95413,0.81451,0.10768,0.86259,20,0.35387,-0.17528,-0.00427,-0.30605,20,-0.076492,0.55196,0.12099,0.70646,17
2014-09-30,0.50482,0.077375,0.0018295,-0.46023,20,0.36741,-0.51582,0.31707,-0.59322,20,0.23264,-0.1038,0.55631,0.58964,20,0.47453,0.21406,-0.14572,-0.61413,20,0.20981,0.16212,0.041066,1.3833,18,0.71791,0.029604,0.23366,1.963,20,0.6203,0.37086,-0.52388,0.89821,20,0.19969,-0.12124,-0.18964,0.2453,20,0.89224,0.25495,-1.2659,0.96985,20,0.20567,0.6275,-2.3291,-1.7057,20,,,,,,,,,,,0.87041,0.69997,0.30388,0.67965,20,0.43477,0.064081,-0.24114,0.53902,20,-0.073239,0.55802,0.13063,0.71722,18
2014-12-31,0.5042,0.083076,-0.06223,-0.75943,20,0.34806,-0.50335,-0.096834,-1.6731,20,0.21734,-0.081587,0.23644,-0.70563,20,0.46508,0.22897,-0.41528,-1.5372,20,0.20915,0.16147,0.040925,1.3747,19,0.66192,0.026172,0.31427,2.2324,20,0.59729,0.39565,-0.98922,-0.65432,20,0.20024,-0.1241,-0.15468,0.39964,20,0.91782,0.27028,-1.7478,0.033551,20,0.25941,-0.036112,-0.47279,1.3309,20,,,,,,,,,,,0.85743,0.7874,0.062073,0.23254,20,0.44417,0.063977,0.020323,1.0304,20,-0.078391,0.55027,0.13853,0.72846,19
